Symbol	Name
ONE	ONE SOFTWARE TECHN
ONSM	ONE SYSTEM INTEGRAT
OPHM	LEADER TECH
OPIR	OPHIR INS 1
OPRT	OPHIR TOURS
OPTI	OPTIMA MANAG & INV
ORBI	ORBIT-ALCHUT TECHNO
ORCT	ORCKIT COMMUNIC
ORDA	ORDA PRINT 1
ORLI	ORLITE INDS (1959)
ORMT	ORMAT INDUSTRIES
ORPK	ORPAK IND 1983
ORSI	ORSYS
ORTA	ORTAL DIECASTING
OSEM	OSEM INVST INS
OZAT	OZ ATID INTL
OZHI	UNAMI SHILUVIM ENT
PACH	HAPACH METAL INDS
PAMA	PAMA INVT & PROP 1
PAYT	PAYTON INDS
PCBT	PCB TECHNOLOGIES
PERG	PEREG UTD INDS
PHOE1	ISRA PHOENIX ASS 1
PHOE5	ISRA PHOENIX ASS
PILT	PILAT TECHNOLOGIES
PINR	PINROS HLDGS
PITK	PITKIT PRINTING
PKER	PACKER PLADA
PLCM	POLYCOM
PLGT	POLGAT IND 1 A
PLIT	POLAR INTL RL EST
PLMG	PILAT MEDIA GLOBAL
PLR	POLAR INVESTMENTS
PLRC	POLAR COMMUNICATION
PLRM	PALRAM INDS
PLSK	POLYSACK PLASTIC
PLSN	PLASSON
PLST	PLASTO SAC
PLSTR	PLASTRO IRRIGATION
PNEL	PNEIEL
POLI	BK HAPOALIM
POLK	HG POLLAK
POLRM	POLYRAM
POLY	POLYGON LTD.
PPIL	PLASTOPIL HAZOREA
PRCS	DEAD SEA PERICLASE
PRGO	PERRIGO
PROB	PROFIT BLDG INDS
PRTC	PRIORTECH
PSFN	PSAGOT FINANCE
PTBL	PROPERTY&BUILDING
PTCH	ISRAEL PETR INS
PTNR	PARTNER COMM. CO
PYTC	PHYTECH TECH 2000
PZCH	PAZ-CHEN 1
QLTU	QUALITAU
QNCO	QUEENCO
RABN	RABINTEX INDUSTRIES
RACA	RAV CAR INDS
RATI-L	RATIO OIL EXPLOR
RAVD	RAVAD
RBGP	ROBO GROUP T.E.K
RDMC	RODEMCO
RDWR	RADWARE
REGE	REGENCY JERUSALEM
REIC	REICHERT INDS
REKA	REKAH
RHTCH	RH TECHNOLOGIES
RIMO	RIMONI INDS
RLCO	RALCO AGIES
RLN	RILON
RMDR	RAMDOR SYS & COM
RMZR	D MEDICAL INDUST
RNTK	RANITECH
